Name,Python (out of 3),Machine Learning (out of 3),Natural Language Processing (NLP) (out of 3),Deep Learning (out of 3),Other skills, Available,Degree,Stream,Current Year Of Graduation,Performance_PG,Performance_UG,Performance_12,Performance_10
,1,0,0,1,"MS-Excel, MS-Word, Deep Learning, MySQL, Python, SQL",Yes,Bachelor of Vocation (B.Voc.),Software Engineering,2021,NA,0.928571429,NA,NA
,2,0,0,0,"Git, GitHub, Linux, Adobe After Effects, Adobe Illustrator, Adobe Photoshop, Amazon Web Services (AWS), AngularJS, C Programming, C++ Programming, CSS, Data Analytics, Data Science, Data Structures, Database Management System (DBMS), Docker, Figma, Firebase, Google Cloud Computing, HTML, Java, JavaScript, MS-Excel, MongoDB, Node.js, Postman, Python, REST API, ReactJS, SQL, Selenium, TypeScript, Database Testing",Yes,B.Tech,Computer Science & Engineering,2024,NA,0.89,NA,NA
,2,2,0,0,"Amazon Web Services (AWS), Docker, Hadoop, MS-Excel, Machine Learning, Python, SQL, Power BI",Yes,Master of Science (M.S.),Data Science And Analytics,2022,NA,NA,NA,NA
,3,2,2,0,"Adobe XD, BIG DATA ANALYTICS, Canva, Data Analytics, Data Science, Figma, MS-Excel, MS-PowerPoint, Python, Adobe Photoshop, C++ Programming, Data Structures, Machine Learning, Natural Language Processing (NLP), SQL, Tableau, Amazon Web Services (AWS), Computer Vision",Yes,Bachelor of Engineering (B.E),,2024,NA,NA,1,1
,2,2,0,0,"C++ Programming, Data Science, Machine Learning, Python",Yes,B.Tech,Computer Science,2023,NA,0.81,1,1
,2,2,0,2,"Data Analytics, Data Science, MS-Excel, R Programming, Statistical Modeling, Artificial Intelligence, Deep Learning, Machine Learning, Neural Networks, Python",Yes,BS in Data Science and Applications,Statistics,2022,NA,0.709,NA,NA
,2,1,2,0,"C++ Programming, CSS, Data Analytics, HTML, MS-Excel, Natural Language Processing (NLP), Python, Data Science, Google Analytics, Machine Learning, SQL",Yes,B.Tech,Electronics and Telecommunication Engineering (ETE),2024,NA,0.869,NA,NA
,2,2,0,1,"Atmel AVR, Data Analytics, Data Science, MS-Excel, Machine Learning, Power BI, Python, Raspberry Pi, SQL, Computer Vision, Deep Learning",Yes,PGP,Data Science And Machine Learning,2023,NA,0.68,1,1
,2,1,1,0,"C++ Programming, Data Analytics, Data Structures, Git, GitHub, Java, Python, SQL, Artificial intelligence, Data Science, Database Management System (DBMS), Machine Learning, Natural Language Processing (NLP)",Yes,B.Tech,Information and Communication Technology,2023,NA,0.771,1,1
,2,2,0,1,"Android, Artificial Intelligence, C Programming, C++ Programming, Data Analytics, Data Structures, Database Management System (DBMS), Java, Machine Learning, Python, SQL, Cloud Computing, Data Science, Deep Learning, German Proficiency (Spoken), Linux, Neural Networks, SQLite",Yes,Bachelor of Technology (B.Tech),computer science,2025,0.85,NA,NA,NA
,2,0,0,0,"MS-Excel, MS-PowerPoint, Power BI, Python, R Programming, Visual Basic (VB)",Yes,MBA,Analytics And Finance,2023,0.93,0.8365,1,1
,2,2,0,1,"MS-Excel, Artificial Intelligence, Data Analytics, Data Science, Data Structures, Machine Learning, MySQL, Python, C++ Programming, Computer Vision, Deep Learning",Yes,Bachelor of Technology (B.Tech),Information Technology,2023,NA,0.785,1,1
,1,1,0,0,"MS-Excel, Data Analytics, Data Science, Database Management System (DBMS), Machine Learning, Python, SQL",Yes,Bachelor of Commerce (B.Com),Commerce,2024,NA,NA,NA,NA
,2,2,0,0,"Data Analytics, MS-Excel, Machine Learning, Python, SQL",Yes,Bachelor of Engineering (B.E),Instrumentation and Control Engineering,2022,NA,0.731,1,NA
,1,1,0,0,"CSS, Data Analytics, Database Management System (DBMS), HTML, Java, MS-Excel, Power BI, Tableau, Data Science, Machine Learning, MySQL, Python",Yes,B.Tech,Computer Science,2024,NA,0.7,NA,NA
,2,2,1,2,"Database Management System (DBMS), English Proficiency (Written), MS-Excel, MS-Word, C Programming, Creative Writing, Data Analytics, Data Science, Data Structures, Deep Learning, English Proficiency (Spoken), Figma, Java, MS SQL Server, MS-Office, MS-PowerPoint, Machine Learning, Python, SQL, UI & UX Design, Video Editing, Apache, Blogging, Computer Vision, Natural Language Processing (NLP), Search Engine Optimization (SEO), Social Media Marketing, User Interface (UI) Development",Yes,Bachelor of Technology (B.Tech),Computer Science & Engineering,2024,NA,0.98,NA,NA
,0,0,0,0,Software Testing,Yes,Bachelor of Engineering (B.E),Electronics and Communication,2019,NA,NA,NA,NA
,2,2,0,0,"Unix, BIG DATA ANALYTICS, Java, Machine Learning, Python, SQL",Yes,Bachelor of Engineering (B.E),Electrical and Electronics Engineering,2022,NA,NA,NA,NA
,0,2,0,0,"Data Analytics, HTML, Machine Learning, CSS, Java",Yes,Master of Computer Applications (MCA),Computer Applications,2023,0.82,0.83,1,1
,2,2,0,0,"Machine Learning, Python, C++ Programming, Computer Networks, Data Analytics, Data Science, MS-Excel",Yes,Bachelor of Engineering (B.E),Electronics and Telecommunication Engineering (ETE),2023,0.87,NA,NA,NA
,3,3,3,3,"Data Analytics, Deep Learning, Flask, Image Processing, MS-Excel, Machine Learning, MySQL, Natural Language Processing (NLP), Python, Power BI, Tableau",Yes,Post Graduate Diploma in Management (P.G.D.M.),Data Science And Business Analytics,2022,NA,NA,NA,NA
,2,1,0,0,"Python, Artificial Intelligence, Data Analytics, Machine Learning, Microsoft Azure, R Programming",Yes,Bachelor of Engineering (B.E),,2023,NA,NA,NA,NA
,2,2,0,1,"MS-Excel, Machine Learning, Power BI, Python, SQL, Data Analytics, Data Science, Deep Learning",Yes,M.Sc. in Data Science,Data Science,2023,0.85,NA,NA,NA
,2,2,2,1,"C++ Programming, Chemistry, English Proficiency (Spoken), Machine Learning, Mathematics, Natural Language Processing (NLP), Physics, Python, SQL, Unity 3D, Algorithms, Android, Artificial intelligence, Blender 3D, C Programming, C#.NET, CSS, Computer Vision, Data Analytics, Data Science, Data Structures, Deep Learning, Django, English Proficiency (Written), HTML, MS-Excel, MS-Office, MongoDB, Tableau, Unity Engine",Yes,B.Tech (Hons.),Computer Science,2023,NA,NA,1,1
,0,0,0,0,"Accounting, English Proficiency (Spoken), MS-Excel, MS-Office",Yes,Post Graduate Diploma in Management (P.G.D.M.),Finance,2012,0.74,NA,NA,NA
,2,2,1,0,"Algorithms, C++ Programming, Data Structures, English Proficiency (Spoken), English Proficiency (Written), Machine Learning, Python, Computer Vision, Data Analytics, Natural Language Processing (NLP)",Yes,B.Tech,Electrical and Electronics Engineering,2024,0.76,NA,1,1
,2,2,2,0,"MS-Excel, Machine Learning, MySQL, Natural Language Processing (NLP), Python, R Programming, SQL",Yes,BS in Data Science and Applications,,2024,NA,NA,NA,NA
,2,1,0,0,"Data Analytics, MS-Excel, Python, Statistics, Machine Learning, SQL, Tableau",Yes,Bachelor of Technology (B.Tech),Information Technology,2023,NA,0.818,1,1
,2,2,0,0,"Amazon Web Services (AWS), Artificial Intelligence, Java, Machine Learning, Python",Yes,Bachelor of Technology (B.Tech),,2023,NA,NA,NA,NA
,2,2,1,1,"Cloud Computing, Amazon Web Services (AWS), C Programming, Computer Networking, Java, Machine Learning, Python, Blockchain, CSS, Deep Learning, Flutter, Internet of Things (IoT), MySQL, Natural Language Processing (NLP), PHP, SQL",Yes,Master of Computer Applications (MCA),Networks And Communication,2023,0.55,0.728,1,1
,1,2,2,2,"Amazon Web Services (AWS), Artificial intelligence, Data Science, Database Management System (DBMS), Deep Learning, HTML, Machine Learning, MySQL, Natural Language Processing (NLP), SQL, Tableau, Python",Yes,Master of Technology (M.Tech),Statistics Computing( DATA Science ),2022,NA,0.59,1,1
,1,1,1,1,"English Proficiency (Spoken), English Proficiency (Written), AutoCAD, MS-Excel, MS-Office, Statistical Modeling, Statistics, Data Analytics, Data Science, Deep Learning, Machine Learning, Natural Language Processing (NLP), Project Management, Python, SPSS, SQL, Tableau",Yes,PG Diploma in Data Science,,2023,NA,0.681,NA,NA
,3,2,0,2,"Python, C++ Programming, Data Analytics, Deep Learning, Machine Learning, Robotic Process Automation (RPA), SQL, Power BI, Tableau",Yes,B.Tech (Hons.),Computer Science & Engineering,2022,NA,0.763,1,1
,2,0,0,0,"Data Science, Python",Yes,Master of Technology (M.Tech),,2019,NA,NA,NA,NA
,3,2,2,2,"Data Science, Database Management System (DBMS), Python, Computer Vision, Data Analytics, Data Structures, Deep Learning, English Proficiency (Spoken), English Proficiency (Written), GNU Octave, Hadoop, MS-Excel, MS-Office, Machine Learning, Natural Language Processing (NLP), Neural Networks, NoSQL, Power BI, R Programming, SQL, Tableau, OpenCV",Yes,Integrated M.Sc.,Data Science,2024,0.88,NA,NA,NA
,1,1,2,1,"Artificial Intelligence, Data Structures, Java, Natural Language Processing (NLP), CSS, Deep Learning, HTML, JavaScript, Machine Learning, Python, SQL",Yes,B.Tech,Computer  Science And Engineering,2024,NA,0.888,NA,NA
,3,2,3,3,"Computer Vision, Data Science, Deep Learning, MS-Excel, Natural Language Processing (NLP), Power BI, Python, SQL, Amazon Web Server (AWS), Amazon Web Services (AWS), C Programming, CSS, Data Analytics, Data Structures, Database Management System (DBMS), Django, Flask, HTML, Java, JavaScript, Machine Learning, R Programming, Statistics",Yes,B.Tech,computer science,2024,NA,NA,1,NA
,2,2,0,1,"Data Analytics, Machine Learning, Python, CSS, Deep Learning, HTML, Neural Networks",Yes,Bachelor of Engineering (B.E),AIML,2024,0.72,NA,1,1
,2,0,0,0,"Data Science, Python, SQL",Yes,Bachelor of Engineering (B.E),Computer Science & Engineering,2020,NA,NA,NA,NA
,2,2,0,0,"Data Science, Data Structures, Machine Learning, Python, Tableau, Data Analytics, Database Management System (DBMS)",Yes,B.Tech,,2025,NA,NA,NA,NA
,2,1,1,0,"CSS, Data Analytics, HTML, Python, C++ Programming, Data Science, Django, Flask, Machine Learning, Natural Language Processing (NLP), PHP, SQL",Yes,B.Tech,Computer Science,2021,NA,0.72,1,1
,2,3,0,3,"C++ Programming, Data Structures, Deep Learning, Machine Learning, Data Science, Database Management System (DBMS), Python",Yes,B.Tech,Information Technology,2024,0.84,NA,NA,NA
